payment_method_type,country,rebill_period_in_months,firstSub,observation_date,age,all_time_views,last_month_views,next_month_views,is_cancelled
SAGEPAY,usa,1,1.0,2018-03-01,950,496,,,true
SAGEPAY,usa,1,1.0,2018-03-01,920,628,7,9,false
SAGEPAY,zaf,1,1.0,2018-03-01,759,210,,,true
OFFLINE,USA,1,1.0,2018-03-01,743,91,,,true
PAYPAL,pol,1,1.0,2018-03-01,728,21,,,true
SAGEPAY,can,1,,2018-03-01,695,458,,,true
SAGEPAY,rou,1,,2018-03-01,669,77,1,,false
SAGEPAY,aus,1,1.0,2018-03-01,650,75,,,true
SAGEPAY,ind,1,1.0,2018-03-01,633,323,,,false
PAYPAL,can,1,1.0,2018-03-01,589,156,,,true
SAGEPAY,ind,1,1.0,2018-03-01,361,141,,,true
SAGEPAY,aut,1,1.0,2018-03-01,206,104,,,true
PAYPAL,aus,1,1.0,2018-03-01,893,12,,,true
SAGEPAY,usa,1,,2018-03-01,758,275,,,true
SAGEPAY,gbr,1,1.0,2018-03-01,743,473,27,,false
PAYPAL,esp,1,1.0,2018-03-01,725,498,,,true
PAYPAL,aus,1,1.0,2018-03-01,710,229,,,true
SAGEPAY,zaf,1,1.0,2018-03-01,710,236,,,true
SAGEPAY,ukr,1,1.0,2018-03-01,694,296,,,false
PAYPAL,usa,1,1.0,2018-03-01,626,76,,,true
SAGEPAY,usa,12,,2018-03-01,587,1707,,,false
SAGEPAY,usa,1,1.0,2018-03-01,504,2,,,true
PAYPAL,gbr,1,1.0,2018-03-01,443,16,,,true
SAGEPAY,usa,1,1.0,2018-03-01,202,262,2,22,true
SAGEPAY,gbr,1,1.0,2018-04-01,967,277,,,true
SAGEPAY,aus,1,1.0,2018-04-01,961,493,,,true
SAGEPAY,lbn,1,1.0,2018-04-01,926,168,,,false
PAYPAL,mys,1,1.0,2018-04-01,875,207,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,851,57,,,true
SAGEPAY,ind,1,1.0,2018-04-01,835,480,,,true
SAGEPAY,lka,1,1.0,2018-04-01,586,959,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,552,419,,,true
SAGEPAY,usa,1,1.0,2018-04-01,521,13,,,true
SAGEPAY,gbr,12,,2018-04-01,417,1034,,,true
SAGEPAY,usa,1,1.0,2018-04-01,371,262,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,66,3,,,true
SAGEPAY,usa,1,1.0,2018-05-01,1011,390,,,true
SAGEPAY,usa,1,1.0,2018-05-01,981,632,,26,true
SAGEPAY,usa,1,,2018-05-01,859,414,,,true
SAGEPAY,ind,1,1.0,2018-05-01,758,675,220,,true
PAYPAL,ita,1,1.0,2018-05-01,752,261,,,true
PAYPAL,usa,1,,2018-05-01,726,232,,,true
SAGEPAY,ind,1,1.0,2018-05-01,707,44,,,true
